date,province,case_cumulative,death_cumulative
2020-03-31,Aceh,5,0
2020-03-31,Bali,19,2
2020-03-31,Banten,142,4
2020-03-31,Kepulauan Bangka Belitung,2,0
2020-03-31,Bengkulu,1,1
2020-03-31,Daerah Istimewa Yogyakarta,23,2
2020-03-31,DKI Jakarta,747,83
2020-03-31,Jambi,2,0
2020-03-31,Jawa Barat,198,21
2020-03-31,Jawa Tengah,93,7
2020-03-31,Jawa Timur,93,8
2020-03-31,Kalimantan Barat,9,2
2020-03-31,Kalimantan Timur,20,0
2020-03-31,Kalimantan Tengah,9,0
2020-03-31,Kalimantan Selatan,8,0
2020-03-31,Kalimantan Utara,2,0
2020-03-31,Kepulauan Riau,7,1
2020-03-31,Nusa Tenggara Barat,4,0
2020-03-31,Sumatera Selatan,5,2
2020-03-31,Sumatera Barat,8,0
2020-03-31,Sulawesi Utara,2,0
2020-03-31,Sumatera Utara,19,1
2020-03-31,Sulawesi Tenggara,3,0
2020-03-31,Sulawesi Selatan,50,1
2020-03-31,Sulawesi Tengah,3,0
2020-03-31,Lampung,8,0
2020-03-31,Riau,3,0
2020-03-31,Maluku Utara,1,0
2020-03-31,Maluku,1,0
2020-03-31,Papua Barat,2,1
2020-03-31,Papua,10,0
2020-03-31,Sulawesi Barat,1,0
2020-03-31,Nusa Tenggara Timur,0,0
2020-03-31,Gorontalo,0,0
2020-03-31,Lain,28,0
2020-04-01,Aceh,5,0
2020-04-01,Bali,25,2
2020-04-01,Banten,152,14
2020-04-01,Kepulauan Bangka Belitung,2,1
2020-04-01,Bengkulu,1,1
2020-04-01,Daerah Istimewa Yogyakarta,28,2
2020-04-01,DKI Jakarta,808,85
2020-04-01,Jambi,2,0
2020-04-01,Jawa Barat,220,21
2020-04-01,Jawa Tengah,104,7
2020-04-01,Jawa Timur,104,9
2020-04-01,Kalimantan Barat,10,2
2020-04-01,Kalimantan Timur,21,1
2020-04-01,Kalimantan Tengah,9,0
2020-04-01,Kalimantan Selatan,8,0
2020-04-01,Kalimantan Utara,2,0
2020-04-01,Kepulauan Riau,7,1
2020-04-01,Nusa Tenggara Barat,6,0
2020-04-01,Sumatera Selatan,5,2
2020-04-01,Sumatera Barat,8,0
2020-04-01,Sulawesi Utara,3,0
2020-04-01,Sumatera Utara,22,3
2020-04-01,Sulawesi Tenggara,3,0
2020-04-01,Sulawesi Selatan,66,5
2020-04-01,Sulawesi Tengah,2,0
2020-04-01,Lampung,8,0
2020-04-01,Riau,3,0
2020-04-01,Maluku Utara,1,0
2020-04-01,Maluku,1,0
2020-04-01,Papua Barat,2,1
2020-04-01,Papua,10,0
2020-04-01,Sulawesi Barat,1,0
2020-04-01,Nusa Tenggara Timur,0,0
2020-04-01,Gorontalo,0,0
2020-04-01,Lain,28,0
2020-04-02,Aceh,5,0
2020-04-02,Bali,25,2
2020-04-02,Banten,164,14
2020-04-02,Kepulauan Bangka Belitung,2,1
2020-04-02,Bengkulu,1,1
2020-04-02,Daerah Istimewa Yogyakarta,27,3
2020-04-02,DKI Jakarta,897,90
2020-04-02,Jambi,2,0
2020-04-02,Jawa Barat,223,25
2020-04-02,Jawa Tengah,104,7
2020-04-02,Jawa Timur,104,11
2020-04-02,Kalimantan Barat,10,2
2020-04-02,Kalimantan Timur,21,1
2020-04-02,Kalimantan Tengah,9,0
2020-04-02,Kalimantan Selatan,8,0
2020-04-02,Kalimantan Utara,2,0
2020-04-02,Kepulauan Riau,7,1
2020-04-02,Nusa Tenggara Barat,6,0
2020-04-02,Sumatera Selatan,11,2
2020-04-02,Sumatera Barat,8,0
2020-04-02,Sulawesi Utara,3,0
2020-04-02,Sumatera Utara,22,3
2020-04-02,Sulawesi Tenggara,3,0
2020-04-02,Sulawesi Selatan,66,5
2020-04-02,Sulawesi Tengah,2,0
2020-04-02,Lampung,8,1
2020-04-02,Riau,7,0
2020-04-02,Maluku Utara,1,0
2020-04-02,Maluku,1,0
2020-04-02,Papua Barat,2,1
2020-04-02,Papua,10,0
2020-04-02,Sulawesi Barat,1,0
2020-04-02,Nusa Tenggara Timur,0,0
2020-04-02,Gorontalo,0,0
2020-04-02,Lain,28,0
2020-04-03,Aceh,5,0
2020-04-03,Bali,27,2
2020-04-03,Banten,170,14
2020-04-03,Kepulauan Bangka Belitung,2,1
2020-04-03,Bengkulu,2,1
2020-04-03,Daerah Istimewa Yogyakarta,27,3
2020-04-03,DKI Jakarta,971,90
2020-04-03,Jambi,2,0
2020-04-03,Jawa Barat,225,25
2020-04-03,Jawa Tengah,114,18
2020-04-03,Jawa Timur,155,11
2020-04-03,Kalimantan Barat,10,2
2020-04-03,Kalimantan Timur,22,1
2020-04-03,Kalimantan Tengah,12,0
2020-04-03,Kalimantan Selatan,8,0
2020-04-03,Kalimantan Utara,8,0
2020-04-03,Kepulauan Riau,8,1
2020-04-03,Nusa Tenggara Barat,7,0
2020-04-03,Sumatera Selatan,12,2
2020-04-03,Sumatera Barat,8,0
2020-04-03,Sulawesi Utara,3,0
